date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2024-02-15,(주)우성생약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)우성생약,WooSung,
2024-02-14,(주)온누리바이오생약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2024-02-14,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2024-02-07,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-02-07,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2024-02-07,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2024-02-07,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-01-31,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2024-01-31,주식회사 유한건강생활,FROZEN WHOLE STICK VELVET,녹용,Deer velvet (frozen),New Zealand,주식회사 유한건강생활,Yuhan Care,
2024-01-23,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2024-01-19,건향제약주식회사,DEER HORN,건조녹용,Deer velvet (dried),Russia,건향제약주식회사,Geonhyang Pharm.,
2024-01-19,한스약품주식회사,DRIED REDDEER VELVET ANTLER(WHOLE),건조녹용,Deer velvet (dried),China,한스약품주식회사,Hans Pharm Inc,
2023-12-28,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2023-12-19,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2023-12-12,건향제약주식회사,DEER HORN,건조녹용,Deer velvet (dried),Russia,건향제약주식회사,Geonhyang Pharm.,
2023-12-11,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-12-06,향나바이오 주식회사,DEER HORN,녹용,Deer velvet (dried),New Zealand,향나바이오 주식회사,Hyangna Bio,
2023-11-29,(주)케이앤씨디어트레이드,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2023-11-28,화용제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,화용제약,HwaYong Pharm.,
2023-11-23,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2023-11-20,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-11-20,온바이오,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,온바이오,OnBio,
2023-11-09,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-10-30,한스약품주식회사,DRIED REDDEER VELVET ANTLER(WHOLE),건조녹용,Deer velvet (dried),China,한스약품주식회사,Hans Pharm Inc,
2023-10-30,밀리언 무역,DEER HORN,건조녹용,Deer velvet (dried),Russia,밀리언 무역,Million Trade,
2023-10-12,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-10-12,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-10-05,주식회사 이룡제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 이룡제약,Eryong Pharm.,
2023-10-05,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2023-09-05,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-09-05,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-08-29,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-08-14,주식회사 비봉허브,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 비봉허브,Bibong Herb,
2023-08-14,대호제약주식회사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,대호제약주식회사,Daeho Pharm.,
